"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
40947.1,31094,86303,28415.3,21386,87076.7,57526.9,65.86,0.543308
14037.5,12062,76269.6,11726.8,10531,72977.5,37139.9,34.04,0.548573
17662.9,16543,69972.6,7330.44,6882,69806.4,27994.2,96.94,0.549626
15973.3,15027,69663.1,5502.64,5151,70009.9,9605.2,-30.34,0.549626
17588.3,14235,80974.3,12881.9,11007,76699.3,34100.7,25.9,0.550679
29537,26506,73030.1,15840.4,14650,70861.4,12662.1,101.38,0.551732
13819.1,11686,77498.5,10399.2,8802,77428.2,38174.4,8.14,0.553838
14506.1,13335,71291.7,7183.92,6751,69738.6,29503.1,31.82,0.556996
15416.9,14490,69728.4,5626.96,5287,69750,35229.2,14.06,0.558049
12423.2,11427,71249.3,7447.36,6747,72338.8,34024.5,2.96,0.558049
6419.82,6234,67489.5,2677.32,2542,69024.7,17184.3,11.84,0.560155
9767.34,9003,71099.9,5868.94,5407,71135,13160.9,-19.98,0.561208
20050.8,17750,74031,8108.92,7134,74492,25406.4,-19.24,0.564367
17612.1,16358,70560.4,7138.04,6750,69303.5,33397.7,0,0.56542
33143.2,24421,88942.9,18355.7,14177,84852.9,21559.9,38.48,0.566473
58343.3,33828,113030,46597.1,25540,119569,89696.1,150.22,0.568579
11298.5,10618,69736.4,5723.9,5182,72389.3,37683.8,-5.18,0.570684
18022.6,15811,74703.1,11451.5,10011,74966.1,8652.08,57.72,0.571737
13125.4,12182,70611.4,5858.58,5438,70604.6,18411.9,17.76,0.575949
15852.5,14770,70339.3,6394.34,5930,70667.7,38308.3,22.94,0.575949
24764.5,19700,82384.2,18485.2,15552,77896.5,23643,10.36,0.577002
12595.4,11526,71616.8,7749.28,7098,71549.3,15597.7,39.96,0.59069
18760.5,15077,81547.3,15437.1,13009,77768.4,42626.2,21.46,0.591743
31316.3,17223,119163,10215,5503,121651,49516.4,66.6,0.592796
11969.1,11215,69942.7,5729.82,5330,70452.1,8807.48,11.1,0.592796
8350.32,7943,68896.7,3258.96,3075,69456.6,6939.72,11.84,0.593849
7561.62,7308,67810.4,2578.9,2456,68815.5,27605.7,23.68,0.594902
84437.1,47419,116697,63442.4,38863,106985,80685.9,201.28,0.595955
26345.2,18927,91222.1,15800.5,12386,83602.5,12854.5,54.02,0.597007
9297.42,8923,68286,4832.2,4559,69463.3,29712.5,-45.88,0.600166
13009.9,12195,69915.4,6352.16,5883,70762.4,12844.9,-2.96,0.601219
18284,16939,70739.7,7357.82,6902,69864.1,14138.4,68.82,0.603325
12035.1,11155,70706.6,7639.02,7039,71122.4,14340.5,37,0.605431
6558.42,6423,66917.7,2848.26,2735,68249.9,19661.1,-40.7,0.60859
7689.66,7518,67032.4,3277.46,3102,69242.9,32881.2,-25.9,0.609643
17494.6,16198,70782,6554.92,6110,70308.2,7242.38,-8.88,0.610695
14169.5,12946,71729.9,7468.08,6842,71532.9,23987.1,11.84,0.611748
9129.12,8609,69495.4,4413.36,4081,70873.3,8005.32,39.22,0.611748
41824.2,28431,96408.5,21224.7,14831,93788.7,69992.9,64.38,0.614907
8755.56,8208,69907.9,3959,3696,70199.4,21111.5,-5.18,0.61596
10129,9216,72028.6,7915.78,7044,73646.9,21269.8,5.18,0.619119
18794.8,17049,72246.9,7431.82,6393,76185.2,70539.8,47.36,0.619119
7381.44,7034,68773.1,2850.48,2691,69419.9,13198.6,41.44,0.620172
12589.5,11978,68881.8,5348.72,4967,70572.5,50885.4,25.16,0.624383
19576.3,18162,70639.2,6819.1,6346,70421.8,8989.52,34.78,0.627542
7147.14,6790,68983.1,3129.46,2926,70093.1,14315.3,2.96,0.627542
19487.8,14613,87398.5,14586.1,11537,82856.7,50907.6,35.52,0.628595
13393.4,10965,80050,11912.5,10005,78030.9,33045.4,86.58,0.629648
48558.2,33765,94248.8,37373.7,25957,94360.8,57842.8,97.68,0.632807
18194.2,16036,74356.2,8448.58,7380,75025.2,22767.6,76.96,0.632807
10639.9,10185,68462.8,3924.22,3721,69115.2,25035.7,25.16,0.63386
47938.4,26716,117596,38528.8,25240,100041,68960.6,137.64,0.637019
13518.8,12064,73438.9,11235.4,10116,72788.1,26727.3,34.04,0.638071
15580,14703,69444.9,5537.42,5138,70630.7,6416.54,37,0.638071
15908,14174,73553.4,7843.26,7011,73315.6,14586.9,55.5,0.639124
16366,15432,69502.6,6024.34,5660,69754.6,8273.2,14.06,0.64123
